dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,influence_pair,pairwise_influence,0,True,11,11,11,7,8,0.002087928108707171
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,rigging,omni_bt_diff,0,True,11,11,11,7,8,-0.08363300145727548
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,influence_pair,pairwise_influence,1,True,21,21,21,7,8,2.990233543775922e-05
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,rigging,omni_bt_diff,1,True,22,22,22,7,9,-0.04723381353589984
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,influence_pair,pairwise_influence,2,True,11,11,11,7,8,0.0044501300860742
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,rigging,omni_bt_diff,2,True,11,11,11,7,8,-0.12746900451575183
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,influence_pair,pairwise_influence,3,True,18,18,18,7,8,0.03125052995599065
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,rigging,omni_bt_diff,3,True,18,18,18,7,8,-0.006740746846143564
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,influence_pair,pairwise_influence,4,True,24,24,24,7,8,0.06334807975233381
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Taylor Fritz,demote,7,rigging,omni_bt_diff,4,True,23,23,23,7,8,-0.10069966797509933
