dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,influence_pair,pairwise_influence,0,True,18,18,18,5,3,0.03193317979330068
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,rigging,omni_bt_diff,0,True,18,18,18,5,3,-0.5265729218273305
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,influence_pair,pairwise_influence,1,True,32,32,32,5,3,0.0025598143038318977
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,rigging,omni_bt_diff,1,True,37,37,37,5,3,-0.1565944634003067
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,influence_pair,pairwise_influence,2,True,38,38,38,5,3,0.030787847335294938
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,rigging,omni_bt_diff,2,True,38,38,38,5,3,-0.38760637399369935
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,influence_pair,pairwise_influence,3,True,25,25,25,5,3,0.030382827384997535
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,rigging,omni_bt_diff,3,True,25,25,25,5,3,-0.5537622709600879
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,influence_pair,pairwise_influence,4,True,9,9,9,5,3,0.03477423187541595
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Holger Rune,promote,3,rigging,omni_bt_diff,4,True,9,9,9,5,3,-0.5580736867385561
