dataset_key,dataset_name,target_player,direction,k,method,policy,trial,success,actions_used,rows_added,exposures_seen,initial_rank,final_rank,final_metric_value
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,influence_pair,pairwise_influence,0,True,29,29,29,8,6,0.0067821520732700424
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,rigging,omni_bt_diff,0,True,37,37,37,8,6,-0.03930384851303059
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,influence_pair,pairwise_influence,1,True,20,20,20,8,6,0.017208220731104396
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,rigging,omni_bt_diff,1,True,20,20,20,8,6,-0.13642420759763918
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,influence_pair,pairwise_influence,2,True,24,24,24,8,5,0.04078377170683867
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,rigging,omni_bt_diff,2,True,22,22,22,8,6,-0.05655908456422454
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,influence_pair,pairwise_influence,3,True,26,26,26,8,6,0.02307876553739563
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,rigging,omni_bt_diff,3,True,31,31,31,8,6,-0.06289271242689476
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,influence_pair,pairwise_influence,4,True,18,18,18,8,6,0.0005524764917630431
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),Stefanos Tsitsipas,promote,6,rigging,omni_bt_diff,4,True,18,18,18,8,6,-0.11199705100091095
